Date,Price,Open,High,Low,Vol.,Change %
07/02/2025,"3,348.00","3,329.00","3,357.50","3,329.00",0.04K,0.34%
07/01/2025,"3,336.70","3,310.10","3,354.10","3,310.10",0.37K,1.28%
06/30/2025,"3,294.40","3,265.90","3,306.90","3,262.00",1.24K,0.63%
06/27/2025,"3,273.70","3,318.70","3,318.70","3,253.80",0.28K,-1.79%
06/26/2025,"3,333.50","3,332.40","3,333.50","3,332.40",2.06K,0.19%
06/25/2025,"3,327.10","3,321.60","3,331.20","3,310.60",0.37K,0.29%
06/24/2025,"3,317.40","3,358.00","3,358.00","3,301.00",0.54K,-1.79%
06/23/2025,"3,377.70","3,365.90","3,387.90","3,350.00",0.03K,0.29%
06/20/2025,"3,368.10","3,350.00","3,372.90","3,341.00",0.71K,-0.64%
06/18/2025,"3,389.80","3,385.30","3,391.90","3,365.10",,0.09%
06/17/2025,"3,386.60","3,398.30","3,398.30","3,376.10",1.48K,-0.29%
06/16/2025,"3,396.40","3,442.00","3,442.00","3,385.40",0.48K,-1.01%
06/13/2025,"3,431.20","3,407.30","3,444.00","3,407.30",0.50K,1.49%
06/12/2025,"3,380.90","3,363.00","3,395.90","3,353.40",1.82K,1.79%
06/11/2025,"3,321.30","3,328.00","3,356.00","3,321.30",2.11K,0.01%
06/10/2025,"3,320.90","3,302.00","3,344.30","3,302.00",0.07K,-0.34%
06/09/2025,"3,332.10","3,315.60","3,334.60","3,290.00",1.89K,0.28%
06/06/2025,"3,322.70","3,364.30","3,364.30","3,306.00",0.08K,-0.84%
06/05/2025,"3,350.70","3,371.50","3,400.00","3,343.70",0.73K,-0.68%
06/04/2025,"3,373.50","3,355.00","3,380.00","3,344.00",0.21K,0.70%
06/03/2025,"3,350.20","3,385.10","3,390.00","3,331.30",6.41K,-0.61%
06/02/2025,"3,370.60","3,296.90","3,380.80","3,296.90",0.98K,2.48%
05/30/2025,"3,288.90","3,315.10","3,318.00","3,270.90",2.21K,-0.85%
05/29/2025,"3,317.10","3,283.70","3,328.80","3,242.40",24.37K,0.71%
05/28/2025,"3,293.60","3,293.60","3,293.60","3,293.60",127.76K,-0.17%
05/27/2025,"3,299.10","3,332.50","3,341.00","3,296.30",0.19K,-1.92%
05/23/2025,"3,363.60","3,328.00","3,363.60","3,323.50",0.05K,2.17%
05/22/2025,"3,292.30","3,327.30","3,328.00","3,282.70",1.21K,-0.51%
05/21/2025,"3,309.30","3,293.40","3,317.50","3,290.20",0.98K,0.88%
05/20/2025,"3,280.30","3,219.00","3,293.20","3,207.50",0.36K,1.59%
05/19/2025,"3,228.90","3,234.40","3,241.00","3,228.30",0.27K,1.47%
05/16/2025,"3,182.00","3,227.70","3,228.10","3,173.90",0.20K,-1.20%
05/15/2025,"3,220.70","3,151.00","3,228.10","3,125.00",0.65K,1.24%
05/14/2025,"3,181.40","3,233.00","3,233.00","3,171.70",3.52K,-1.82%
05/13/2025,"3,240.30","3,232.00","3,251.40","3,223.50",2.42K,0.63%
05/12/2025,"3,220.00","3,300.70","3,300.70","3,205.00",0.89K,-3.46%
05/09/2025,"3,335.40","3,299.00","3,335.50","3,299.00",0.22K,1.18%
05/08/2025,"3,296.60","3,390.00","3,390.00","3,288.70",0.20K,-2.51%
05/07/2025,"3,381.40","3,418.70","3,418.70","3,364.70",1.08K,-0.88%
05/06/2025,"3,411.40","3,365.50","3,430.90","3,356.80",2.36K,3.02%
05/05/2025,"3,311.30","3,242.70","3,315.70","3,239.70",0.24K,2.46%
05/02/2025,"3,231.90","3,239.90","3,257.00","3,225.00",1.35K,0.68%
05/01/2025,"3,210.00","3,272.90","3,275.00","3,198.60",2.13K,-2.87%
